Hotel Name,Rating,Rating Description,Reviews,Star Rating,Location,Nearest Landmark,Distance to Landmark,Price,Tax,banglore,chennai,delhi,hyderabad,kolkata,mumbai
Ashraya International Hotel,3.7,Very Good,664,3,Infantry Road ,MG Road,2.3 km ,"2,792",564,1,0,0,0,0,0
Davanam Sarovar Portico Suites,4.3,Excellent,1865,4,Koramangala,,,"5,076","1,026",1,0,0,0,0,0
"Taj M G Road, Bengaluru",4.6,Excellent,1715,5,Sivanchetti Gardens ,MG Road,2.9 km ,"9,000",,1,0,0,0,0,0
Draper Startup House Koramangala | Dorms & Rooms,4.4,Excellent,222,,Koramangala,,,"1,113",294,1,0,0,0,0,0
The Lalit Ashok Bangalore,3.8,Very Good,2542,5,Seshadripuram,,,"6,698","1,354",1,0,0,0,0,0
"Vivanta Bengaluru, Residency Road",4.3,Excellent,1022,5,Residency Road ,MG Road,1.5 km ,"7,000",,1,0,0,0,0,0
ibis Bengaluru Hebbal - An Accor Brand,4.1,Very Good,237,4,Hebbal,,,"4,499",,1,0,0,0,0,0
Vividus,4.2,Very Good,1791,5,Gandhi Nagar,,,"6,547","2,156",1,0,0,0,0,0
Citrus Hotel Cunningham,4.1,Very Good,1869,5,Cunningham Road ,Indira Gandhi Musical Fountain Park,780 m ,"3,934","1,075",1,0,0,0,0,0
Citrus Classic Bengaluru,3.9,Very Good,527,4,Outer Ring Road,,,"3,575",977,1,0,0,0,0,0
"Taj Yeshwantpur, Bengaluru",4.6,Excellent,2138,5,Tumkur road,,,"7,500",,1,0,0,0,0,0
Lemon Tree Hotel Whitefield,4.1,Very Good,2327,4,Brookefield,,,"2,347",843,1,0,0,0,0,0
Golden Lotus Bangalore Boutique Suites | Rooms & Garden,3.8,Very Good,865,,Richmond road ,MG Road,3.0 km ,"2,660",754,1,0,0,0,0,0
Ramada Encore,4.4,Excellent,4271,4,Domlur Layout,,,"5,640","1,140",1,0,0,0,0,0
Ibis Bengaluru Hosur Road - An Accor Brand,3.9,Very Good,1381,3,Hosur road,,,"4,499",,1,0,0,0,0,0
"The Oberoi, Bengaluru",4.7,Excellent,1565,5,Ulsoor,,,"11,500",,1,0,0,0,0,0
